1950|112214|62896084|780563|35850623|2654138|2893815
1951|60380586|01067816|44415688|530050|671135|949969
1952|6441283|0558801|2293790|645914|290055|637533
1953|3770725|2866944|721323|171925|39158781|7379811
1954|977106|2624030|567447|53390814|82340451|8179621
1955|8819533|956541|63601742|97613691|042351|38604907
1956|6465223|754799|174912|273921|29320478|7162008
1957|10062671|26689203|80177480|21556938|23438865|5634624
1958|55077831|2671407|21588792|42608222|434512|042239
1959|1140358|67223042|1464119|44571341|020738|479562
1960|01514343|464297|765002|185182|95557718|381823
1961|53944207|57587023|8516270|01781140|860243|8862093
1962|586385|5834037|448110|9792962|646575|281859
1963|724834|789606|929634|397787|9293158|52264529
1964|6811590|621685|97937854|615639|477603|99385170
1965|179803|083077|60337028|58210804|7155266|138301
1966|636039|4262507|209758|08210717|3273449|43787017
1967|01943601|58701617|867129|564587|21245966|112378
1968|3410220|029527|038539|7319732|7869613|43437004
1969|624856|96859628|008951|3932702|310707|1668960
1970|30222366|234086|71479405|1189247|0116849|358312
1971|413452|494463|375768|719127|95569679|558047
1972|479293|51303891|2030376|68149170|785971|70836593
1973|240526|88550100|508571|3343065|3519958|63824391
1974|8897510|4830310|64458800|3169114|6532869|161812
1975|72797072|45359692|14516837|9991569|4961028|92577714
1976|8852099|0375705|66125555|9096393|70849435|171173
1977|010971|59550244|9300031|15680004|12298378|097897
1978|3565658|2768465|4945986|088999|497851|3330467
1979|93063476|848890|14227005|36290990|752234|436469
1980|306101|62166801|0456604|481198|42475019|565196
1981|83439093|07870682|24273689|84497030|1414113|9416077
1982|83976538|77193426|608927|0381724|5250560|6542947
1983|8819020|7157115|563193|0678295|948839|792230
1984|119398|27769661|4334502|1233310|266389|523205
1985|377328|22499500|67512794|18306152|43727233|93264427
1986|65041775|9400603|766288|125740|19849648|7547763
1987|078853|0228524|711308|09731526|87455205|6267486
1988|329931|1912522|1997724|9211497|192332|9803077
1989|3887603|4010667|96549898|0691541|4802461|60341957
1990|372343|8163820|41730326|0717439|600640|554220
1991|74714475|164908|972270|541215|06522346|5732847
1992|186253|355105|912505|9276820|2909832|359893
1993|3966741|2750979|8854880|66109202|2727973|6636452
1994|173705|750806|77383084|140474|78083875|0732484
1995|8823779|33601107|3657011|44867143|8227904|85223785
1996|8569301|2701251|31768616|07323272|2249988|5120768
1997|5007607|5028747|1483879|0385512|5603134|93077595
1998|977515|86629885|460792|13827115|231997|176512
1999|090568|1483816|2817549|4607715|58681079|7885337
2000|9144479|47226647|1503251|8401276|51144178|774795
2001|29611657|56720543|4543913|5339564|0856229|7158407
2002|3669713|193938|8508069|1926995|6072930|4721663
2003|53863962|842354|100252|1584323|42870533|9207940
2004|182384|0744348|032813|3616331|8817188|07373382
2005|205063|3633951|4851231|29815579|1649313|464213
2006|73115805|43868925|747550|85596202|7476028|8467676
2007|931755|23578499|88906506|23920552|40047801|9347225
2008|510404|822203|473310|6795785|0312958|4054326
2009|74604237|91110947|949317|751462|679605|38465486
2010|814724|103373|803348|874631|392253|6264663
2011|4842794|8517057|20141058|43935858|678479|4234688
2012|55779540|3598671|16984584|18631665|8512373|544768
2013|7620605|337062|53041245|9636881|883177|14536610
2014|2890361|29281519|20193326|5680328|0504781|207358
2015|258069|49246612|0274064|71499646|065657|6522979
2016|715111|98807851|372521|4275999|2767087|318095
2017|2436431|58888586|5377116|79645630|76396107|293328
2018|3624409|577191|51454074|6115703|1103071|23911445
2019|5322537|98044522|7493522|397784|882044|5640664
2020|2502793|048566|9380196|2489821|9410076|954001
