1950|41881159|260115|1678468|619258|02676691|805229
1951|9974407|850468|237428|040444|30186901|82627406
1952|922123|63430429|13770853|6182636|12528147|2172336
1953|555519|03550749|33621060|629904|53852348|3743033
1954|6583265|6648257|3823585|86492070|977870|86478418
1955|25379898|423302|406957|35369326|07679070|6581799
1956|76988648|677585|0942298|814314|50570190|4658734
1957|8231200|16596665|48168871|40335845|420025|31346836
1958|76582034|216096|1480687|353264|64237785|4059969
1959|56879634|697925|8809471|595072|35998522|4574115
1960|046324|11154231|68518423|08739447|59235513|91993864
1961|3069597|520064|56599513|244126|2660692|41913497
1962|4432872|2124039|8095475|620211|563815|157211
1963|6060822|461378|117795|799804|186668|04742743
1964|914831|443856|226934|5260280|1754308|3676483
1965|46706623|827754|144379|287968|5720057|37857518
1966|8344617|1527267|42152095|54659571|88807987|45541975
1967|9078083|49150733|409504|01872017|711128|255819
1968|74497487|0136638|14569576|001638|936051|273096
1969|4329490|94454464|369037|1175587|73221955|3738497
1970|20927688|23993703|9056285|99385297|8724474|976763
1971|5488228|332883|5879671|165965|9441249|07467080
1972|48994241|70853844|1119390|15303098|43102010|0798724
1973|09512175|656991|1985268|4794610|33565952|1988558
1974|0978022|514735|819922|1011538|790333|56824637
1975|19926805|8824767|648328|6490153|633218|40031097
1976|0841022|5123702|9434343|84565106|55707430|5518905
1977|902645|51876090|6708740|59922698|025037|663197
1978|5297895|1160278|55796640|409351|1005063|7516195
1979|9121069|6136051|1506090|51958707|538670|715110
1980|85238043|3057639|1320777|69440642|941570|72132837
1981|6320904|173757|62210277|7777724|8734692|41417668
1982|0224117|943695|3695377|6930832|7698628|584415
1983|6995560|400898|556055|806168|090490|184395
1984|431677|6145710|1908149|1945893|8775047|961618
1985|994304|786392|39948012|81725481|89856525|1348100
1986|4186644|3431809|759896|69281133|614623|749992
1987|2581173|19751994|0579730|6673074|1383412|825724
1988|972207|8323408|059364|02779170|639519|77815928
1989|88069862|774265|958148|35944128|76326122|553230
1990|777555|1656961|2470912|1324253|99824133|2816416
1991|964389|4624509|241994|8083667|069636|4847853
1992|3036808|698431|3225883|25252769|34584834|786563
1993|41455269|09539655|5886609|31058029|62123187|5941592
1994|26467114|01710568|3608331|254803|1588234|90326806
1995|9196395|638596|1774277|57457049|355316|502218
1996|03849944|926299|2162581|194334|0907623|30965919
1997|0914908|65764281|0621712|7650487|5518974|0637463
1998|61089902|7224035|71402127|993902|250217|35078765
1999|83411020|3591862|436594|88771038|551892|729015
2000|28670608|219173|90347361|238264|64451833|85860902
2001|42997310|5920207|905320|65345490|82086073|2929863
2002|5819161|50973555|786375|7874325|67813701|385176
2003|60712013|39532673|739462|9406513|067210|3820925
2004|965655|9940794|871642|001334|05420481|04073507
2005|336311|17711096|583750|4794890|8611497|016248
2006|30183375|65427473|0390036|127257|570552|002986
2007|86497838|668207|232384|061693|569888|85289685
2008|74748967|686863|86684706|8570462|3993736|7450596
2009|1485316|30703044|17924939|9563542|5192459|801961
2010|07127804|1555812|489623|8369353|953305|151855
2011|8331347|8395303|816898|28039893|384367|3722901
2012|48766590|410710|9009244|7335168|10385755|71545178
2013|023294|6563676|30033004|274978|26701077|8841283
2014|53942069|07190970|30395656|811616|78166174|93993254
2015|05160416|21665448|1192674|5938707|284060|02014423
2016|435018|05623666|534853|0247005|7589442|1146322
2017|980729|7244521|8917814|36189862|846078|93247365
2018|26291144|4347436|1513701|460233|96148669|80313655
2019|5290435|05538040|868264|01858924|3836036|9426773
2020|7758848|05248936|949012|221772|1194968|586622
